construction,sweep,seed,max_cos,beta,sigma,dim,rho,T,max_pred_err,w_linf,w_l1,max_w_linf,decision_agree,regret_diff,beta_max,max_err,final_err,greedy_agree,select_agree
mwu,beta_route,15,0.0,5.0,,,,500,0.6140666058306588,0.6225956013369007,1.2451912026738017,0.6225956013369007,0.821285140562249,33.0,,,,,
mwu,beta_route,16,0.0,5.0,,,,100,0.2915001302015158,0.1872753812717604,0.550782658467111,0.1939693507943696,0.9595959595959596,0.0,,,,,
mwu,beta_route,16,0.0,5.0,,,,500,0.7164486407148091,0.6947445192542737,1.3894890385085472,0.7377527985277298,0.8517034068136272,30.0,,,,,
mwu,beta_route,17,0.0,5.0,,,,100,0.3984693420805533,0.4387740658548133,0.8775481317096266,0.4387740658548133,0.9090909090909092,1.0,,,,,
mwu,beta_route,17,0.0,5.0,,,,500,0.7212914998463986,0.6782951170727534,1.3565902341455067,0.719012772503647,0.8977955911823647,27.0,,,,,
mwu,beta_route,18,0.0,5.0,,,,100,0.5320045925391742,0.5297116693396067,1.0594233386792131,0.5297116693396067,0.87,9.0,,,,,
mwu,beta_route,18,0.0,5.0,,,,500,0.7527730414365399,0.6582527010243637,1.3165054020487277,0.766413963084014,0.816,62.0,,,,,
mwu,beta_route,19,0.0,5.0,,,,100,0.5848316956440307,0.5953996944714016,1.1907993889428032,0.5953996944714016,0.9191919191919192,6.0,,,,,
mwu,beta_route,19,0.0,5.0,,,,500,0.6929369345789229,0.68368380607099,1.3673676121419802,0.6976418358683866,0.8336673346693386,69.0,,,,,
mwu,beta_route,0,0.0,10.0,,,,100,0.0067416346113414,0.006276603765851,0.0125532075317019,0.0065442209789263,1.0,0.0,,,,,
mwu,beta_route,0,0.0,10.0,,,,500,0.0149293871007443,7.8933144234683e-05,0.0001578662884693,0.0147625342225633,1.0,0.0,,,,,
mwu,beta_route,1,0.0,10.0,,,,100,0.004503932090651,0.0046364428355882,0.0092728856711766,0.0046935355283647,1.0,0.0,,,,,
mwu,beta_route,1,0.0,10.0,,,,500,0.0482323426943594,0.0476153639980467,0.0952307279960934,0.0476153639980467,0.997995991983968,1.0,,,,,
mwu,beta_route,2,0.0,10.0,,,,100,0.010033062771217,0.0083856455599384,0.0167712911198768,0.0100765074848363,1.0,1.0,,,,,
mwu,beta_route,2,0.0,10.0,,,,500,0.0108387286215354,1.8242685849712004e-06,3.648537169882884e-06,0.0105805460938487,1.0,1.0,,,,,
mwu,beta_route,3,0.0,10.0,,,,100,0.0078462515198526,0.0073794194888266,0.0147588389776534,0.0076180333504414,1.0,1.0,,,,,
mwu,beta_route,3,0.0,10.0,,,,500,0.0338268060742776,0.0020519529218997,0.0041039058437995,0.0338177396464673,1.0,1.0,,,,,
mwu,beta_route,4,0.0,10.0,,,,100,0.004074848739561,0.0030875828822483,0.0069217969433507,0.0033601163183491,1.0,0.0,,,,,
mwu,beta_route,4,0.0,10.0,,,,500,0.0219080635164218,0.0169812124248317,0.0339624248496636,0.0210826015215019,1.0,0.0,,,,,
mwu,beta_route,5,0.0,10.0,,,,100,0.0092383108066434,0.0107549597986141,0.0215099195972283,0.0107549597986141,1.0,-1.0,,,,,
mwu,beta_route,5,0.0,10.0,,,,500,0.0439523878541506,0.0472417969816043,0.0944835939632083,0.0472417969816043,1.0,-1.0,,,,,
mwu,beta_route,6,0.0,10.0,,,,100,0.0135307637218392,0.0148558862339638,0.0297117724679275,0.0148558862339638,1.0,0.0,,,,,
mwu,beta_route,6,0.0,10.0,,,,500,0.0319574826432793,0.0050541237544851,0.0101082475089703,0.0346134657834183,1.0,0.0,,,,,
mwu,beta_route,7,0.0,10.0,,,,100,0.0085544011789094,0.0095638324417142,0.0191276648834284,0.0096032436000856,1.0,0.0,,,,,
mwu,beta_route,7,0.0,10.0,,,,500,0.0205056557396986,0.0162637988984404,0.0325275977968807,0.0214810187439908,1.0,0.0,,,,,
mwu,beta_route,8,0.0,10.0,,,,100,0.0078443265850182,0.0074946694734827,0.0149893389469654,0.007824257712753,1.0,-1.0,,,,,
mwu,beta_route,8,0.0,10.0,,,,500,0.0174081369547851,0.0034117283270861,0.0068234566541719,0.0174467415307641,1.0,-1.0,,,,,
mwu,beta_route,9,0.0,10.0,,,,100,0.0083444053952723,0.0099506579074793,0.0199013158149586,0.0100196769933763,1.0,0.0,,,,,
mwu,beta_route,9,0.0,10.0,,,,500,0.0188437358815367,0.0115068675108804,0.0230137350217611,0.0201981784745621,1.0,0.0,,,,,
mwu,beta_route,10,0.0,10.0,,,,100,0.0054156473967126,0.0059722773836645,0.0119445547673292,0.0059722773836645,1.0,-1.0,,,,,
mwu,beta_route,10,0.0,10.0,,,,500,0.0246318328132018,0.0152766497148535,0.0305532994297068,0.024745607243349,1.0,-1.0,,,,,
mwu,beta_route,11,0.0,10.0,,,,100,0.0058579152195527,0.0059293703698675,0.0118587407397351,0.0060457674668118,0.98989898989899,1.0,,,,,
mwu,beta_route,11,0.0,10.0,,,,500,0.0436713443325129,0.0316267335188906,0.0632534670377812,0.0433664559218807,0.997995991983968,1.0,,,,,
