beta,beta_max,nA,nS,alpha,gamma,rewards,seed,max_err,greedy_agree,self_vs_teacher
1000.0,1000.0,3,2,0.2,0.9,noisy_negative,1,8.39131237176105e-05,1.0,0.0
1000.0,1000.0,3,8,0.2,0.95,clean,0,1.3633538742396922e-13,1.0,0.0
1000.0,1000.0,3,2,0.2,0.95,clean,1,2.2737367544323206e-13,1.0,0.0
1000.0,1000.0,3,8,0.2,0.95,noisy_negative,0,5.129188091521075e-05,1.0,0.0
1000.0,1000.0,3,2,0.2,0.95,noisy_negative,1,3.0731784359722125e-05,1.0,0.0
1000.0,1000.0,3,8,0.5,0.9,clean,0,4.931490771298286e-10,1.0,0.0
1000.0,1000.0,3,2,0.5,0.9,clean,1,8.704148513061227e-14,1.0,0.0
1000.0,1000.0,3,8,0.5,0.9,noisy_negative,0,3.451894474371109e-05,1.0,0.0
1000.0,1000.0,3,2,0.5,0.9,noisy_negative,1,0.00011757759633201914,1.0,0.0
1000.0,1000.0,3,8,0.5,0.95,clean,0,0.00012894435333965504,1.0,0.0
1000.0,1000.0,3,2,0.5,0.95,clean,1,1.9184653865522705e-13,1.0,0.0
1000.0,1000.0,3,8,0.5,0.95,noisy_negative,0,0.00012705955727887464,1.0,0.0
1000.0,1000.0,3,2,0.5,0.95,noisy_negative,1,0.00012437407260490474,1.0,0.0
1000.0,1000.0,4,8,0.1,0.9,clean,0,4.787163870756395e-06,1.0,0.0
1000.0,1000.0,4,2,0.1,0.9,clean,1,1.793586219861476e-05,1.0,0.0
1000.0,1000.0,4,8,0.1,0.9,noisy_negative,0,2.8671911893846103e-05,1.0,0.0
1000.0,1000.0,4,2,0.1,0.9,noisy_negative,1,4.1411041575845076e-06,1.0,0.0
1000.0,1000.0,4,8,0.1,0.95,clean,0,5.039366762216169e-06,1.0,0.0
1000.0,1000.0,4,2,0.1,0.95,clean,1,2.1245810014058897e-05,1.0,0.0
1000.0,1000.0,4,8,0.1,0.95,noisy_negative,0,4.285551170771229e-05,1.0,0.0
1000.0,1000.0,4,2,0.1,0.95,noisy_negative,1,3.461528398668312e-06,1.0,0.0
1000.0,1000.0,4,8,0.2,0.9,clean,0,1.3186733246572935e-05,1.0,0.0
1000.0,1000.0,4,2,0.2,0.9,clean,1,2.6501427091041307e-05,1.0,0.0
1000.0,1000.0,4,8,0.2,0.9,noisy_negative,0,5.029347099350101e-05,1.0,0.0
1000.0,1000.0,4,2,0.2,0.9,noisy_negative,1,4.2127320985407835e-05,1.0,0.0
1000.0,1000.0,4,8,0.2,0.95,clean,0,2.6402840562766983e-06,1.0,0.0
1000.0,1000.0,4,2,0.2,0.95,clean,1,6.127891905904903e-06,1.0,0.0
1000.0,1000.0,4,8,0.2,0.95,noisy_negative,0,5.291152088884865e-05,1.0,0.0
1000.0,1000.0,4,2,0.2,0.95,noisy_negative,1,1.1750245694497341e-07,1.0,0.0
1000.0,1000.0,4,8,0.5,0.9,clean,0,2.5907055167806448e-08,1.0,0.0
1000.0,1000.0,4,2,0.5,0.9,clean,1,0.00012575149099181004,1.0,0.0
1000.0,1000.0,4,8,0.5,0.9,noisy_negative,0,0.00013136187320106352,1.0,0.0
1000.0,1000.0,4,2,0.5,0.9,noisy_negative,1,0.00027949314845823747,1.0,0.0
1000.0,1000.0,4,8,0.5,0.95,clean,0,6.882688196752085e-05,1.0,0.0
1000.0,1000.0,4,2,0.5,0.95,clean,1,0.00012273540938068095,1.0,0.0
1000.0,1000.0,4,8,0.5,0.95,noisy_negative,0,1.394652014430342e-07,1.0,0.0
1000.0,1000.0,4,2,0.5,0.95,noisy_negative,1,0.00014881104776387488,1.0,0.0
1000.0,10000.0,2,8,0.1,0.9,clean,0,1.7474910407599964e-13,1.0,0.0
